,Num Y,I=sY,s,C,Real Y,I=sY,s,C,L,n,Num Y_L,Real Y_L,k,K,,,Delta,,A,k_normalized,A_normalized
1370,57070,18712.4013065637,0.327885076337194,37592.7790532851,3810380.12996914,667590.130593324,0.175203026423175,1895542.9125093,14773979,0.01993626767711,3.86287268988266,257.911570739957,0.002052619401442,30325.3559319,,,,,32.6057605760576,1,1
1371,77133,24850.4443720757,0.322176557012896,51315.2248077201,3923017.1342247,675288.028758839,0.172134866011054,1954818.4419945,15065547,0.019353296631048,5.11982737832221,260.396594576002,0.002141274694619,32259.4745517,1934.1186198,22916.3257522757,0.710375047043911,,27.3078863292416,1.04319129650384,0.837517231519322
1372,115029,29875.9416419808,0.259725300941335,69127.5056648146,4107256.06893276,712196.805856363,0.173399659992814,2080361.21030089,15364086,0.019430963872501,7.48687556161818,267.328370131016,0.00211857118469,32549.9098787,290.435326999999,29585.5063149808,0.908927441742042,,29.7944757167168,1.03213054655992,0.913779503692819
1373,151193,37629.1193722503,0.248881359403215,103389.113831027,4048920.71162337,615968.242347522,0.152131465696338,2019021.95977087,15681583,0.020246489145898,9.6414373472372,258.195917569251,0.003798510138772,59566.6520175,27016.7421388,10612.3772334503,0.178159706379545,,31.1587163732111,1.850567200185,0.9556199831784
1374,206049,46769.616080748,0.226982980168542,145925.300108995,4128768.93769967,567620.51299164,0.137479360447787,1911381.71436629,16086199,0.025152989839303,12.8090545193429,256.665290395803,0.006352269108731,102183.8649846,42617.2129671,4152.40311364797,0.040636583028776,,35.4914977428807,3.09471356661043,1.08850390593072
1375,288694,65544.6879324397,0.227038621974962,197217.905432305,4328952.50656267,671663.510498235,0.155156128296625,1960707.91323607,16777765,0.041219196955018,17.2069402569413,258.017233318184,0.006707821216688,112542.2480356,10358.383051,55186.3048814397,0.490360783125488,,35.1370317322148,3.26793228787304,1.07763263642486
1376,332843,71576.9749415323,0.215047259343091,243142.135111866,4207604.47802201,665046.682974746,0.15805826960413,2058658.92277674,17509046,0.041765896325819,19.0097735764701,240.310321762934,0.006836895269874,119707.5137774,7165.2657418,64411.7091997323,0.538075741172839,,37.3633757686447,3.33081489197162,1.14591333275264
1377,374561,105483.411716073,0.281618779627545,297867.064996955,4297854.28912774,668254.084182582,0.155485514218819,2126055.18018947,18299623,0.043201818966435,20.468235875679,234.860264013512,0.008446349628711,154565.0139316,34857.5001542,70625.9115618728,0.456933362637467,,33.6176741446533,4.11491269291146,1.0310348095158
1378,494804,130902.034413524,0.264553306791223,359670.816503287,4279479.37489202,722185.490925026,0.168755455432765,2088904.69499917,19158636,0.044836855817919,25.8266820247537,223.370775189425,0.01150687073229,220455.947859,65890.9339274,65011.1004861243,0.294893837601081,,33.6949160586049,5.60594464039709,1.03340377477184
1379,713400,177841.549534083,0.249287285581838,441215.825428485,4508707.34729181,748118.249042297,0.16592743582962,2316879.15157051,20095759,0.046632874130308,35.5000276426484,224.361137456506,0.012951329092691,260266.7881764,39810.8403174,138030.709216683,0.530343153591808,,41.5496862695318,6.30965929854834,1.27430507785921
