year,Num-Y,I=sY,s1,C,s2,Real-Y,I=sY,s1,C,s2,L,n,Num Y-L,Real Y-L,K,Delta1,Delta2
1370,57070,18712.4013065637,0.327885076337194,37592.7790532851,0.341286506863762,3810380.12996914,667590.130593324,0.175203026423175,1895542.9125093,0.50253180841444,14773979,0.01993626767711,3.86287268988266,257.911570739957,30325.3559319,,
1371,77133,24850.4443720757,0.322176557012896,51315.2248077201,0.334717633078967,3923017.1342247,675288.028758839,0.172134866011054,1954818.4419945,0.501705352000501,15065547,0.019353296631048,5.11982737832221,260.396594576002,32259.4745517,0.710375047043911,0.740360991751533
1372,115029,29875.9416419808,0.259725300941335,69127.5056648146,0.399042800817058,4107256.06893276,712196.805856363,0.173399659992814,2080361.21030089,0.493491232251936,15364086,0.019430963872501,7.48687556161818,267.328370131016,32549.9098787,0.908927441742042,1.40126529315008
1373,151193,37629.1193722503,0.248881359403215,103389.113831027,0.31617790617934,4048920.71162337,615968.242347522,0.152131465696338,2019021.95977087,0.501343171780372,15681583,0.020246489145898,9.6414373472372,258.195917569251,59566.6520175,0.178159706379545,0.348972845142715
1374,206049,46769.616080748,0.226982980168542,145925.300108995,0.291793213706471,4128768.93769967,567620.51299164,0.137479360447787,1911381.71436629,0.537057717879653,16086199,0.025152989839303,12.8090545193429,256.665290395803,102183.8649846,0.040636583028776,0.171323397549536
1375,288694,65544.6879324397,0.227038621974962,197217.905432305,0.316861779488647,4328952.50656267,671663.510498235,0.155156128296625,1960707.91323607,0.547071050037244,16777765,0.041219196955018,17.2069402569413,258.017233318184,112542.2480356,0.490360783125488,0.720775645880432
1376,332843,71576.9749415323,0.215047259343091,243142.135111866,0.269499027734198,4207604.47802201,665046.682974746,0.15805826960413,2058658.92277674,0.510728982838113,17509046,0.041765896325819,19.0097735764701,240.310321762934,119707.5137774,0.538075741172839,0.689477181021497
1377,374561,105483.411716073,0.281618779627545,297867.064996955,0.204756862041282,4297854.28912774,668254.084182582,0.155485514218819,2126055.18018947,0.505321717032673,18299623,0.043201818966435,20.468235875679,234.860264013512,154565.0139316,0.456933362637467,0.270672086681652
1378,494804,130902.034413524,0.264553306791223,359670.816503287,0.273104468631444,4279479.37489202,722185.490925026,0.168755455432765,2088904.69499917,0.511878779634994,19158636,0.044836855817919,25.8266820247537,223.370775189425,220455.947859,0.294893837601081,0.314086556710183
1379,713400,177841.549534083,0.249287285581838,441215.825428485,0.381530942769155,4508707.34729181,748118.249042297,0.16592743582962,2316879.15157051,0.486132282912051,20095759,0.046632874130308,35.5000276426484,224.361137456506,260266.7881764,0.530343153591808,0.892827455559256
1380,817561,223603.730853255,0.273500975282891,538793.72388069,0.340974283410424,4578083.43757152,935571.524214547,0.204358775232552,2435827.03032758,0.467937388310319,21089194,0.047106352191554,38.7668205811943,217.081953799255,399762.9609077,0.210393574059441,0.348384210162396
1381,1087424,264118.28189297,0.24288435963614,657658.376554543,0.395214399760772,4743089.68899467,1006992.62977633,0.212307313545609,2652097.89858509,0.44085014779739,22126722,0.046890271410289,49.1452823423189,214.360251328447,529738.4664153,0.253224534161365,0.565920991100598
1382,1378348,344451.826184322,0.249901930560586,799118.152505007,0.42023483727984,5185239.78817177,1181168.94538712,0.227794469231977,2709206.55574233,0.47751566631067,23170990,0.0450679060325,59.4859347831059,223.781538387949,753014.9256233,0.160920272431547,0.472704293334367
1383,1822532,442260.276648697,0.242662557721179,1019658.59835395,0.440526367518404,5440918.92054743,1269755.1586317,0.233371453824926,2945651.07303142,0.458611474266363,24209910,0.042913005459335,75.2804120296193,224.739328669434,785932.8189094,0.52083635332931,0.979670895316957
1384,2232353,541353.3545163,0.24250347257638,1244046.76347292,0.44271951457815,5721462.26287342,1403290.26759123,0.245267766021491,3160019.99131645,0.447690145258524,24201525,-0.000346465770236,92.2401790796241,236.409162764471,943893.4258666,0.406182241609643,0.879702736362982
1385,2727954,663439.941335074,0.243200560322892,1541545.82196643,0.434907692004179,6155434.50420177,1390955.20825518,0.225971896428384,3407947.17349251,0.446351484827562,24164868,-0.001516954282556,112.889257247339,254.72659334211,1290119.725953,0.245879227227807,0.651243338928513
1386,3570728,889858.702284076,0.249209321540055,1880337.59939618,0.473402174739665,6639087.10583826,1420532.79927913,0.21396507932995,3668798.72892842,0.447394096441035,23406695,-0.032391288048142,152.551566976884,283.640518485769,1623414.2213307,0.342835611265106,0.835951716693547
1387,4176626,1180618.41412001,0.282672763642233,2243247.29061359,0.462904437549929,6605304.26768312,1552147.52665278,0.234985015640651,3569032.74915166,0.459671711625249,24064901,0.027351286423327,173.556749724422,274.47876339417,1679878.5558037,0.669187707506142,1.11729170446815
1388,4311645,1291394.08791777,0.299513083270484,2568903.91495334,0.404194010649454,6614956.82035111,1527425.45774312,0.230904826626223,3634037.3039555,0.450633253904957,24035523,-0.001222274214711,179.386360762776,275.215846992433,2027541.3670159,0.465455991210938,0.688064024995808
1389,5469896,1367270.59130593,0.249962813060052,3053917.44963401,0.441686377650689,6895121.23754172,1532235.09962675,0.222220182479783,3724435.22335911,0.459844853331838,24155493,0.004966572199541,226.445223038917,285.447340592126,2359037.2708354,0.439066690590958,0.883615817484867
1390,6866811,1607602.6138033,0.234111964608215,3824482.64323172,0.443048215069306,6866811.14703959,1607602.6138033,0.234111959595156,3824482.64323172,0.44304822699536,24266673,0.004581592210848,282.972906916412,282.972912975734,2961759.8701381,0.339284769380628,0.823701402015357
1391,8533392,1650903.89269953,0.193463969860934,4732666.71856938,0.445394431830932,6280156.15118952,1208414.7801351,0.192417951248906,3755205.73966176,0.402052170478198,24357612,0.003733494071586,350.337791734264,257.831356833729,3843594.4685658,0.200091164809799,0.759416922590191
1392,11804886,2203024.03994549,0.186619679338325,6149478.45913204,0.479073456606693,6435356.73646569,1166850.87852535,0.181318756101497,3854240.41555689,0.401083642540437,24418459,0.002491844387068,483.441072182319,263.544752617914,4596156.6530369,0.315581466205247,1.06672720851612
1393,12550960,2714299.81610612,0.216262327033639,7135438.75358795,0.431482631321592,6581447.19537998,1312783.71428239,0.199467332231113,3983450.11366284,0.394745563489573,25357014,0.03701362471149,494.969951903643,259.551349199869,3884653.4077091,0.881881265040378,1.57723839135321
1394,12180016,2492059.12685871,0.204602286799846,7874563.19378734,0.35348498772191,6577726.27537833,1165736.34856463,0.177224818996833,4044044.94166235,0.385191056550959,26558433,0.04523681800052,458.611997176189,247.669968908871,4369876.0378912,0.459243346784973,0.874219346934637
1395,14906258,3193571.58118961,0.214243680821143,9064334.84264263,0.391910777162006,7509284.86457699,1453671.29875341,0.193583187343273,4399623.44939726,0.414108862729221,27421048,0.031458133912314,543.606429630261,273.851125769408,5320653.8249513,0.421525975550578,0.919275249098175
1396,17971871,3737295.90798059,0.207952522471399,10716902.806421,0.403684635482804,7869763.28277953,1582985.49917283,0.201147790891842,4832652.44127964,0.385921498826482,27769359,0.012542997481505,647.183501786988,283.397369121107,6714250.9351522,0.349063331176579,0.872974683250382
1397,25829712,5044927.78765499,0.195314906633686,13196305.8157409,0.489103640964293,7482717.31877339,1434116.58783047,0.191657191730658,4931016.17631412,0.341012634014291,28212245,0.01569836076498,915.54968418855,265.22941789189,9923941.8787459,0.184930228984091,0.949593957301197
